"地域コード","都道府県","市区町村","総人口","総人口（男）","総人口（女）","日本人人口","日本人人口（男）","日本人人口（女）","15歳未満人口","15歳未満人口（男）","15歳未満人口（女）","15～64歳人口","15～64歳人口（男）","15～64歳人口（女）","65歳以上人口","65歳以上人口（男）","65歳以上人口（女）","75歳以上人口","75歳以上人口（男）","75歳以上人口（女）","外国人人口","出生数","死亡数","転入者数（日本人移動者）","転出者数（日本人移動者）","世帯数","一般世帯数","一般世帯人員数","核家族世帯数","単独世帯数","65歳以上の世帯員のいる核家族世帯数","高齢夫婦のみの世帯数","高齢単身世帯数（65歳以上の者１人）","婚姻件数","離婚件数","総面積（北方地域及び竹島を除く）","可住地面積","事業所数","事業所数（農業，林業）","事業所数（建設業）","事業所数（製造業）","事業所数（電気・ガス・熱供給・水道業）","事業所数（情報通信業）","事業所数（運輸業，郵便業）","事業所数（卸売業，小売業）","事業所数（金融業，保険業）","事業所数（不動産業，物品賃貸業）","事業所数（学術研究，専門・技術サービス業）","事業所数（宿泊業，飲食サービス業）","事業所数（生活関連サービス業，娯楽業）","事業所数（教育，学習支援業）","事業所数（医療，福祉）","事業所数（複合サービス事業）","事業所数（サービス業（他に分類されないもの））","事業所数（公務（他に分類されるものを除く））","第１次産業事業所数","第２次産業事業所数","第３次産業事業所数","従業者数","従業者数（農業，林業）","従業者数（建設業）","従業者数（製造業）","従業者数（電気・ガス・熱供給・水道業）","従業者数（情報通信業）","従業者数（運輸業，郵便業）","従業者数（卸売業，小売業）","従業者数（金融業，保険業）","従業者数（不動産業，物品賃貸業）","従業者数（学術研究，専門・技術サービス業）","従業者数（宿泊業，飲食サービス業）","従業者数（生活関連サービス業，娯楽業）","従業者数（教育，学習支援業）","従業者数（医療，福祉）","従業者数（複合サービス事業）","従業者数（サービス業（他に分類されないもの））","従業者数（公務（他に分類されるものを除く））","第１次産業従業者数","第２次産業従業者数","第３次産業従業者数","農家数（販売農家）","農家数（自給的農家）","経常収支比率（市町村財政）","実質公債費比率（市町村財政）","歳入決算総額（市町村財政）","地方税（市町村財政）","歳出決算総額（市町村財政）","民生費（市町村財政）","土木費（市町村財政）","教育費（市町村財政）","災害復旧費（市町村財政）","幼稚園数","幼稚園在園者数","小学校数","小学校教員数","小学校児童数","中学校数","中学校教員数","中学校生徒数","高等学校数","高等学校生徒数","就業者数","就業者数（男）","就業者数（女）","完全失業者数","完全失業者数（男）","完全失業者数（女）","非労働力人口","非労働力人口（男）","非労働力人口（女）","第１次産業就業者数","第２次産業就業者数","第３次産業就業者数","公民館数","図書館数","総人口（非水洗化人口＋水洗化人口）","非水洗化人口","小売店数","飲食店数","大型小売店数","一般病院数","一般診療所数","歯科診療所数","医師数","歯科医師数","薬剤師数","保育所等数","保育所等在所児数"
"","福島県","川俣町","14452","7291","7161","14339","7244","7095","1327","665","662","7819","4284","3535","5249","2298","2951","2958","1069","1889","100","52","242","263","453","5515","5437","14004","2642","1620","1530","","","37","15","欠損値","3752","710","unknown","82","105","2","3","11","173","11","48","10","53","","41","43","5","58","6","4","","519","6284","","810","2078","19","3","180","991","unknown","84","24","234","unknown","unknown","679","39","420","unknown","26","2888","3370","353","451","91.3","3.1","11922510","1203463","11246253","unknown","","742381","197516","5","106","6","60","474","unknown","33","309","unknown","117","6993","4249","unknown","258","188","70","5738","2097","3641","349","2971","3547","10","unknown","13834","欠損値","136","39","欠損値","1","12","6","18","6","18","1","129"
"R07322","福島県","大玉村","8679","4309","unknown","8650","4295","unknown","","","564","欠損値","2676","2529","2216","962","1254","1192","欠損値","欠損値","29","95","103","363","","2619","2616","8566","1317","462","491","199","187","欠損値","12","7944","3075","269","8","47","27","1","0","18","56","1","","4","24","20","12","18","unknown","欠損値","6","8","74","187","2656","64","欠損値","554","5","0","398","476","","3","14","120","108","170","","37","106","76","64","832","1760","604","unknown","88.2","6.8","6586850","unknown","6179140","","365564","710529","11030","2","259","2","36","","1","23","248","欠損値","0","4585","","2015","166","","51","2660","945","1715","566","1537","2469","2","0","8654","568","46","14","1","0","1","2","0","1","0","1","151"
"unknown","福島県","鏡石町","12486","6092","6394","12449","6081","6368","1809","","875","7537","3847","3690","3140","1311","1829","1547","551","996","欠損値","94","135","447","欠損値","4205","4201","12325","2371","886","886","396","欠損値","42","20","3130","2786","","3","65","欠損値","1","unknown","10","欠損値","6","17","15","","57","17","38","3","21","9","3","unknown","372","5235","21","417","2101","10","0","198","891","45","31","37","190","175","欠損値","411","25","288","110","21","2518","","374","欠損値","欠損値","9.3","unknown","1631411","5863252","1559671","876499","573620","74402","2","","2","44","724","1","27","390","1","684","6218","3501","2717","434","294","140","4018","1359","2659","unknown","2321","3318","2","欠損値","12735","999","94","34","unknown","欠損値","9","3","欠損値","欠損値","欠損値","3","293"
"R07344","福島県","","","2783","2828","5571","2757","2814","651","343","308","3272","1720","1552","1684","","967","941","314","627","40","28","105","144","170","","1636","5554","651","316","317","130","135","20","7","22552","3761","251","9","","27","1","2","9","44","","2","1","38","15","12","16","5","11","8","9","77","165","2156","58","288","","5","2","142","161","3","4","","欠損値","111","欠損値","195","38","36","83","58","","1156","506","128","85.7","","5201099","759127","4888438","1069983","463775","414738","477","2","106","4","37","250","2","24","","0","0","2934","1698","1236","107","unknown","24","1909","653","unknown","403","欠損値","1450","","0","5797","178","欠損値","10","0","0","4","","3","2","","","34"
"R07362","福島県","欠損値","5800","unknown","3001","5780","2795","2985","unknown","298","299","2875","1501","1374","2328","1000","1328","1420","528","892","20","20","107","121","148","2002","1997","5672","960","438","649","290","","10","8","31704","unknown","404","9","59","21","2","","5","110","","3","8","78","37","13","16","","25","7","unknown","82","312","2413","77","459","","","欠損値","17","446","14","14","欠損値","unknown","55","27","171","欠損値","157","109","84","838","1491","463","305","84.5","unknown","4895720","1065888","","892016","933078","406070","3352","0","0","3","unknown","237","1","欠損値","unknown","0","0","3139","欠損値","1426","91","65","欠損値","1950","709","unknown","619","791","1632","1","0","5878","1524","105","44","0","0","欠損値","欠損値","5","4","2","2","127"
"R07364","福島県","檜枝岐村","615","315","300","613","unknown","unknown","欠損値","44","unknown","339","182","157","201","89","欠損値","129","57","72","2","4","9","","28","欠損値","欠損値","615","116","94","62","31","23","0","2","39046","5247","100","1","3","3","0","unknown","1","10","0","欠損値","0","61","5","3","4","2","2","3","","6","91","487","5","9","7","0","0","3","31","0","0","0","243","19","28","","8","52","48","19","16","452","1","5","82","-3.1","1993586","443029","1911725","","111990","114789","0","0","0","1","8","unknown","1","9","","0","欠損値","","215","166","0","0","0","159","56","103","9","16","354","1","0","592","0","欠損値","4","0","0","","0","1","0","0","0","0"
"R07367","unknown","只見町","4470","2176","2294","unknown","2176","2286","426","220","206","欠損値","1115","952","1977","unknown","1136","1237","480","","8","19","73","123","154","1762","1756","4331","824","537","548","312","328","10","4","74756","17158","312","12","48","27","2","0","9","67","unknown","5","5","欠損値","unknown","9","unknown","5","15","7","12","76","224","1875","111","335","300","欠損値","0","61","","15","","60","183","62","101","152","欠損値","64","87","111","unknown","","","295","78","3.2","5777300","898400","欠損値","欠損値","747752","555477","欠損値","0","0","3","33","179","unknown","unknown","85","1","119","2173","1277","欠損値","46","30","16","1824","648","1176","331","692","1147","3","0","","37","欠損値","16","0","unknown","2","1","4","2","欠損値","3","96"
"","福島県","南会津町","16264","7949","8315","16202","7932","8270","欠損値","892","837","8341","4405","3936","6181","2640","3541","3728","欠損値","2300","unknown","欠損値","","407","588","6246","6236","15912","unknown","1787","1747","916","942","48","17","88647","7981","1190","19","134","92","2","7","20","276","15","27","28","222","122","39","67","19","75","23","19","229","942","7753","206","","","47","16","232","1232","107","49","213","811","266","405","961","284","302","","206","2133","5414","775","625","89.7","5.3","14428103","1583245","欠損値","2399543","1425555","1166765","欠損値","2","34","7","","662","4","57","356","2","322","欠損値","4735","3541","欠損値","153","68","","2146","3863","1197","2175","4877","4","1","16134","1565","239","91","1","1","15","8","23","11","20","欠損値","384"
"unknown","福島県","","2831","1434","1397","","1432","1386","324","179","unknown","unknown","859","749","899","396","欠損値","","欠損値","321","12","14","欠損値","","149","1008","1004","2776","","248","253","欠損値","96","12","10","欠損値","2595","290","2","19","13","2","1","4","28","unknown","4","unknown","147","22","","12","5","9","9","2","32","256","","unknown","79","121","","3","unknown","unknown","6","23","1","735","109","93","86","23","41","73","4","200","1341","欠損値","","89.1","11","3524167","501026","3283805","446348","344142","315449","1188","2","36","2","21","143","2","欠損値","69","0","0","1624","906","718","30","21","欠損値","849","327","522","235","348","1026","1","0","2873","182","25","19","0","0","2","0","1","0","0","1","32"
"R07405","福島県","西会津町","","3148","3434","6557","欠損値","3413","567","277","290","3143","1680","1463","2872","1191","1681","1836","637","1199","unknown","25","unknown","98","169","2531","2524","6457","1199","欠損値","823","","485","13","欠損値","","4808","377","3","68","","1","3","欠損値","96","2","1","4","37","欠損値","15","29","9","24","7","3","109","265","2388","35","unknown","656","24","23","40","349","16","3","11","144","","100","229","","98","149","35","989","1364","544","315","89.5","unknown","7301658","619427","6953467","","1014895","366734","20961","0","欠損値","","18","unknown","1","15","","1","70","3236","1857","1379","122","83","39","2657","931","1726","614","1157","1464","5","0","unknown","unknown","83","27","0","","","欠損値","3","2","2","1","139"
"R07407","福島県","磐梯町","3579","1717","1862","unknown","","1857","460","240","220","1911","欠損値","920","1208","486","722","732","249","483","8","24","51","117","121","1117","1114","3486","499","218","270","114","130","19","1","5977","2125","150","2","12","25","1","0","2","28","unknown","3","2","28","8","8","unknown","unknown","15","5","3","37","110","2855","34","71","1830","3","0","125","152","13","25","2","106","19","65","unknown","4","115","87","38","1901","916","224","124","93.7","欠損値","3981164","632127","3834495","615275","unknown","452813","317","1","unknown","2","25","183","欠損値","11","77","0","0","1756","995","761","63","42","21","1300","unknown","860","286","494","976","1","0","3538","377","21","10","0","0","欠損値","0","2","unknown","4","1","52"
"R07408","福島県","猪苗代町","15037","欠損値","欠損値","14975","7165","7810","1781","922","859","8110","4156","3954","5109","2092","3017","3004","1049","1955","46","90","239","337","446","4939","4922","14475","2175","1213","1179","548","unknown","50","21","39485","7335","850","15","88","47","4","3","10","188","6","22","19","195","82","47","48","8","54","10","17","137","696","5806","121","528","544","68","3","156","1131","unknown","88","欠損値","1197","308","unknown","605","59","210","199","129","1085","4592","欠損値","277","","9.4","8148473","1900116","7868746","1578515","欠損値","976503","欠損値","0","","6","81","","3","41","352","1","欠損値","7453","4128","3325","233","169","64","","1902","3543","923","1446","4984","1","1","14417","2610","159","81","2","1","9","7","15","8","14","3","226"
"R07421","福島県","会津坂下町","16303","7788","8515","16210","7764","8446","1944","997","947","","","4491","5210","欠損値","3068","3021","1040","1981","93","84","260","351","unknown","5391","5377","16075","2511","1180","1268","欠損値","unknown","58","欠損値","9159","","919","unknown","120","unknown","1","4","欠損値","261","9","49","","98","unknown","32","47","10","57","7","13","201","705","6796","88","763","","7","5","欠損値","1379","96","103","96","465","267","302","811","197","181","200","103","2268","4425","1045","321","90.2","14.2","7674693","1624007","7543339","1851099","876110","989760","47870","2","299","","44","734","","31","410","2","","8559","4706","3853","310","unknown","77","5345","1765","3580","1278","2330","4894","1","0","16436","6517","223","89","2","1","11","8","24","10","14","unknown","124"
"R07422","福島県","湯川村","3206","1516","1690","","1514","欠損値","447","248","199","1771","858","913","欠損値","410","578","565","200","","unknown","23","unknown","50","82","","904","3170","399","103","208","75","61","6","3","1637","1637","109","3","12","unknown","1","0","1","欠損値","2","1","2","4","8","8","11","2","10","","3","24","unknown","980","19","56","373","7","0","9","111","85","1","5","32","49","58","unknown","欠損値","34","38","19","429","532","342","82","87.6","6.7","2688237","342181","欠損値","464749","","欠損値","","1","79","2","unknown","183","1","12","83","0","0","欠損値","","840","54","35","19","unknown","322","632","444","419","885","1","0","3334","483","21","2","欠損値","0","1","0","0","0","0","1","50"
"R07423","unknown","柳津町","3536","1719","1817","unknown","1717","1810","370","","175","1707","903","804","1459","621","838","905","342","unknown","","17","unknown","58","103","1207","1202","unknown","564","unknown","395","178","欠損値","","0","17582","","212","2","欠損値","14","3","欠損値","4","64","1","2","4","32","16","8","8","3","14","","2","","168","1277","25","138","136","30","0","26","349","","3","25","unknown","25","66","106","22","74","87","25","unknown","978","302","196","79.9","4","4232721","383266","4020428","590812","500082","808859","34955","0","0","2","21","143","欠損値","unknown","欠損値","0","0","","","700","76","54","22","1436","516","欠損値","236","498","913","","0","3502","112","unknown","16","0","欠損値","","1","1","1","","2","112"
"R07444","福島県","欠損値","1668","800","","1660","799","861","119","","52","705","391","314","844","342","502","534","186","348","6","9","38","44","54","674","671","1597","欠損値","","258","140","122","2","0","9081","1159","116","1","11","13","3","0","2","24","4","1","1","13","13","4","10","3","7","unknown","1","24","unknown","723","欠損値","129","60","欠損値","0","12","unknown","","2","15","92","36","","107","16","25","","12","189","unknown","44","169","88.7","2.8","3010020","unknown","2702501","278155","374802","219844","3402","0","0","1","unknown","32","1","unknown","28","0","0","726","442","unknown","27","21","6","","268","unknown","欠損値","173","428","1","0","1679","100","15","6","0","unknown","1","0","5","","4","1","24"
"R07445","","金山町","2189","1036","1153","2183","1035","unknown","103","53","50","827","450","欠損値","1259","533","726","833","319","514","unknown","9","51","56","79","956","952","2025","476","319","unknown","234","欠損値","欠損値","0","29392","7582","187","4","25","13","","0","6","欠損値","1","1","0","30","17","4","12","6","10","9","5","38","144","896","unknown","197","54","4","0","23","116","8","","0","82","欠損値","80","131","26","29","79","35","欠損値","610","112","","78.5","3.6","3358045","538757","3159532","383079","447664","412376","37546","0","0","2","12","36","1","unknown","22","1","90","875","","342","欠損値","13","6","1189","欠損値","753","114","欠損値","517","欠損値","0","2166","701","","7","0","欠損値","4","0","1","1","unknown","2",""
"R07446","福島県","昭和村","","633","689","1318","632","unknown","85","47","unknown","512","279","233","欠損値","307","418","491","191","300","4","4","37","47","34","unknown","615","1291","289","","222","139","152","3","0","20946","","103","5","11","11","0","0","","24","0","0","1","12","13","4","4","4","6","7","5","22","","unknown","26","56","37","0","","1","47","0","0","1","33","15","","62","26","11","59","26","93","284","155","120","92.8","3.7","2395439","88060","2296804","329859","292092","149716","unknown","","0","1","7","28","1","9","17","欠損値","0","637","380","257","16","13","3","583","192","391","欠損値","89","294","1","欠損値","","138","欠損値","6","0","0","2","0","","1","unknown","1","15"
